city,x,y
Adana,-18,-111
Adıyaman,146,-82
Afyon,-303,-5
Ağrı,460,85
Amasya,8,145
Ankara,-188,93
Antalya,-313,-182
Artvin,352,213
Aydın,-481,-63
Balıkesir,-477,82
Bilecik,-332,110
Bingöl,313,25
Bitlis,404,-12
Bolu,-248,141
Burdur,-347,-100
Bursa,-408,116
Çanakkale,-554,115
Çankırı,-115,147
Çorum,-53,127
Denizli,-388,-75
Diyarbakır,289,-48
Edirne,-536,211
Elazığ,216,-11
Erzincan,213,71
Erzurum,345,109
Eskişehir,-275,72
Gaziantep,103,-132
Giresun,170,150
Gümüşhane,219,132
Hakkari,514,-91
Hatay,31,-200
Isparta,-281,-60
Mersin,-148,-203
Istanbul,-393,197
Izmir,-548,-21
Kars,447,145
Kastamonu,-113,218
Kayseri,16,-8
Kırklareli,-477,246
Kırşehir,-78,35
Kocaeli,-346,167
Konya,-194,-62
Kütahya,-361,49
Malatya,147,-16
Manisa,-473,10
Kahramanmaraş,73,-64
Mardin,318,-110
Muğla,-492,-117
Muş,371,26
Nevşehir,-42,-7
Niğde,-49,-67
Ordu,113,161
Rize,303,178
Sakarya,-300,158
Samsun,24,188
Siirt,402,-60
Sinop,-30,225
Sivas,88,65
Tekirdağ,-491,192
Tokat,51,119
Trabzon,239,162
Tunceli,226,30
Şanlıurfa,206,-125
Uşak,-381,-11
Van,505,7
Yozgat,-17,69
Zonguldak,-231,205
Aksaray,-98,-33
Bayburt,265,120
Karaman,-151,-134
Kırıkkale,-110,76
Batman,347,-70
Şırnak,413,-95
Bartın,-170,227
Ardahan,433,197
Iğdır,496,111
Yalova,-393,150
Karabük,-177,181
Kilis,89,-164
Osmaniye,41,-119
Düzce,-261,170
